$deprecated$,$cas_replacement$
$1437319-05-5$,$7775-19-1$
$1449469-60-6$,$7775-19-1$
$1853278-50-8$,$7775-19-1$
$11096-45-0$,$7775-09-9$
$38869-73-7$,$7775-09-9$
$38869-74-8$,$7775-09-9$
$12306-28-4$,$7772-99-8$
$17829-58-2$,$7758-99-8$
$80867-41-0$,$7758-99-8$
$11093-68-8$,$7758-89-6$
$12258-96-7$,$7758-89-6$
$12622-24-1$,$7758-89-6$
$53906-70-0$,$7758-89-6$
$53906-71-1$,$7758-89-6$
$53906-72-2$,$7758-89-6$
$53906-73-3$,$7758-89-6$
$1344-15-6$,$7758-87-4$
$123211-19-8$,$7758-87-4$
$915772-79-1$,$7758-87-4$
$1160697-13-1$,$7758-87-4$
$1269629-39-1$,$7758-87-4$
$1314234-39-3$,$7758-87-4$
$9010-08-6$,$7758-29-4$
$187620-23-1$,$7758-29-4$
$860389-18-0$,$7758-29-4$
$1350716-07-2$,$7758-29-4$
$1610338-39-0$,$7758-29-4$
$2093160-08-6$,$7758-29-4$
$2247930-54-5$,$7758-29-4$
$96193-83-8$,$7757-79-1$
$131315-46-3$,$7733-02-0$
$139939-71-2$,$7733-02-0$
$873788-00-2$,$7733-02-0$
$8054-35-1$,$7727-43-7$
$12751-32-5$,$7727-43-7$
$1314087-22-3$,$7727-43-7$
$1352053-72-5$,$7727-43-7$
$1400694-37-2$,$7727-43-7$
$2095567-47-6$,$7727-43-7$
$1801523-63-6$,$7722-76-1$
$8060-18-2$,$7720-78-7$
$8063-79-4$,$7720-78-7$
$56172-58-8$,$7720-78-7$
$139939-63-2$,$7720-78-7$
$7782-45-8$,$7704-34-9$
$8050-82-6$,$7704-34-9$
$12673-82-4$,$7704-34-9$
$12684-31-0$,$7704-34-9$
$12767-24-7$,$7704-34-9$
$56449-52-6$,$7704-34-9$
$56591-09-4$,$7704-34-9$
$56645-30-8$,$7704-34-9$
$57035-13-9$,$7704-34-9$
$63705-05-5$,$7704-34-9$
$81032-32-8$,$7704-34-9$
$97124-07-7$,$7704-34-9$
$1819329-88-8$,$7704-34-9$
$12371-05-0$,$7699-43-6$
$15169-54-7$,$7699-43-6$
$22547-97-3$,$7699-43-6$
$23395-03-1$,$7699-43-6$
$31411-63-9$,$7699-43-6$
$1033044-62-0$,$7699-43-6$
$1133021-29-0$,$7699-43-6$
$15771-29-6$,$7681-57-4$
$1287784-10-4$,$7681-57-4$
$2242622-57-5$,$7681-57-4$
$14529-89-6$,$7681-53-0$
$15883-32-6$,$7681-53-0$
$174571-46-1$,$7681-53-0$
$1007476-22-3$,$7681-53-0$
$12262-56-5$,$7681-38-1$
$1903778-63-1$,$7681-38-1$
$1689577-91-0$,$77-71-4$
$14333-29-0$,$7790-92-3$
$26190-92-1$,$7790-92-3$
$1338439-06-7$,$7790-92-3$
$1690313-94-0$,$7789-41-5$
$39388-36-8$,$7789-20-0$
$156428-50-1$,$7789-20-0$
$139939-67-6$,$7786-81-4$
$1820866-61-2$,$7786-81-4$
$12285-34-6$,$7786-30-3$
$77069-22-8$,$7786-30-3$
$1122625-86-8$,$7786-30-3$
$1801523-64-7$,$7783-28-0$
$2250073-86-8$,$7783-28-0$
$15824-31-4$,$7783-18-8$
$1399-57-1$,$7782-42-5$
$12751-41-6$,$7782-42-5$
$37265-44-4$,$7782-42-5$
$37265-48-8$,$7782-42-5$
$50814-81-8$,$7782-42-5$
$72840-52-9$,$7782-42-5$
$82696-74-0$,$7782-42-5$
$82696-75-1$,$7782-42-5$
$82701-02-8$,$7782-42-5$
$82701-03-9$,$7782-42-5$
$82701-04-0$,$7782-42-5$
$82701-05-1$,$7782-42-5$
$82701-06-2$,$7782-42-5$
$82709-42-0$,$7782-42-5$
$83797-07-3$,$7782-42-5$
$84739-05-9$,$7782-42-5$
$87934-03-0$,$7782-42-5$
$115344-49-5$,$7782-42-5$
$155660-93-8$,$7782-42-5$
$156854-02-3$,$7782-42-5$
$159251-18-0$,$7782-42-5$
$164973-65-3$,$7782-42-5$
$182761-22-4$,$7782-42-5$
$857167-12-5$,$7782-42-5$
$1215114-94-5$,$7782-42-5$
$1397692-45-3$,$7782-42-5$
$1811526-35-8$,$7782-42-5$
$2093098-71-4$,$7782-42-5$
$2179292-22-7$,$7782-42-5$
$2183464-49-3$,$7782-42-5$
$2254660-51-8$,$7782-42-5$
$943540-09-8$,$7778-77-0$
$1364712-44-6$,$7778-77-0$
$2133444-20-7$,$7778-77-0$
$1332-17-8$,$7778-54-3$
$8031-48-9$,$7778-54-3$
$56172-56-6$,$7778-54-3$
$104381-95-5$,$7778-54-3$
$129904-51-4$,$7778-54-3$
$1296807-06-1$,$7778-54-3$
$259744-22-4$,$79-14-1$
$702627-33-6$,$79-14-1$
$1033720-45-4$,$79-14-1$
$1033720-48-7$,$79-14-1$
$55927-87-2$,$79-10-7$
$166941-59-9$,$79-10-7$
$211862-52-1$,$79-10-7$
$1265528-53-7$,$79-10-7$
$1453489-99-0$,$79-10-7$
$1644624-02-1$,$79-10-7$
$1703019-10-6$,$79-10-7$
$1873349-31-5$,$79-10-7$
$2015239-27-5$,$79-10-7$
$2133361-51-8$,$79-10-7$
$1674-56-2$,$78-96-6$
$1790637-35-2$,$78-96-6$
$68923-44-4$,$78-78-4$
$92046-46-3$,$78-78-4$
$1326305-74-1$,$78-78-4$
$942603-48-7$,$78-73-9$
$11024-20-7$,$78-70-6$
$22564-99-4$,$78-70-6$
$8007-36-1$,$78-21-7$
$8076-90-2$,$8061-52-7$
$11138-57-1$,$8061-52-7$
$66198-49-0$,$8061-52-7$
$66198-50-3$,$8061-52-7$
$104782-63-0$,$8061-52-7$
$113609-41-9$,$8061-52-7$
$138861-06-0$,$8061-52-7$
$138861-07-1$,$8061-52-7$
$1357848-43-1$,$8061-52-7$
$8077-00-7$,$8061-51-6$
$9009-75-0$,$8061-51-6$
$39392-67-1$,$8061-51-6$
$53241-33-1$,$8061-51-6$
$54511-09-0$,$8061-51-6$
$57308-17-5$,$8061-51-6$
$57308-19-7$,$8061-51-6$
$58252-37-2$,$8061-51-6$
$69913-08-2$,$8061-51-6$
$70620-30-3$,$8061-51-6$
$71124-41-9$,$8061-51-6$
$89800-41-9$,$8061-51-6$
$91728-06-2$,$8061-51-6$
$94766-03-7$,$8061-51-6$
$102188-95-4$,$8061-51-6$
$112938-99-5$,$8061-51-6$
$118367-85-4$,$8061-51-6$
$122178-10-3$,$8061-51-6$
$122784-49-0$,$8061-51-6$
$172672-59-2$,$8061-51-6$
$218433-41-1$,$8061-51-6$
$290349-15-4$,$8061-51-6$
$913371-19-4$,$8061-51-6$
$1770781-85-5$,$8061-51-6$
$2254652-79-2$,$8061-51-6$
$1030262-12-4$,$8052-41-3$
$8015-59-6$,$8012-95-1$
$8033-89-4$,$8012-95-1$
$8038-04-8$,$8012-95-1$
$8039-14-3$,$8012-95-1$
$8039-75-6$,$8012-95-1$
$8043-78-5$,$8012-95-1$
$37231-69-9$,$8012-95-1$
$37232-05-6$,$8012-95-1$
$37232-06-7$,$8012-95-1$
$37232-07-8$,$8012-95-1$
$39290-23-8$,$8012-95-1$
$39296-25-8$,$8012-95-1$
$39355-08-3$,$8012-95-1$
$39355-09-4$,$8012-95-1$
$39355-35-6$,$8012-95-1$
$39464-77-2$,$8012-95-1$
$39464-78-3$,$8012-95-1$
$50935-85-8$,$8012-95-1$
$50935-95-0$,$8012-95-1$
$51004-58-1$,$8012-95-1$
$51109-96-7$,$8012-95-1$
$52012-27-8$,$8012-95-1$
$52012-28-9$,$8012-95-1$
$53028-74-3$,$8012-95-1$
$58391-38-1$,$8012-95-1$
$58615-80-8$,$8012-95-1$
$60327-80-2$,$8012-95-1$
$74870-90-9$,$8012-95-1$
$79956-36-8$,$8012-95-1$
$83046-05-3$,$8012-95-1$
$97048-20-9$,$8012-95-1$
$99551-14-1$,$8012-95-1$
$102819-98-7$,$8012-95-1$
$106803-31-0$,$8012-95-1$
$115251-26-8$,$8012-95-1$
$116357-36-9$,$8012-95-1$
$122176-99-2$,$8012-95-1$
$124448-52-8$,$8012-95-1$
$146908-77-2$,$8012-95-1$
$172307-10-7$,$8012-95-1$
$187112-19-2$,$8012-95-1$
$188832-17-9$,$8012-95-1$
$219686-29-0$,$8012-95-1$
$261380-10-3$,$8012-95-1$
$331464-54-1$,$8012-95-1$
$1219939-75-9$,$8012-95-1$
$8027-32-5$,$8009-03-8$
$8038-17-3$,$8009-03-8$
$8040-87-7$,$8009-03-8$
$8040-97-9$,$8009-03-8$
$8041-83-6$,$8009-03-8$
$8044-23-3$,$8009-03-8$
$8044-24-4$,$8009-03-8$
$8044-44-8$,$8009-03-8$
$8044-45-9$,$8009-03-8$
$8044-46-0$,$8009-03-8$
$8057-56-5$,$8009-03-8$
$8063-27-2$,$8009-03-8$
$8002-87-7$,$8003-22-3$
$8035-17-4$,$8002-43-5$
$8052-43-5$,$8002-43-5$
$8057-53-2$,$8002-43-5$
$55128-59-1$,$8002-43-5$
$252035-82-8$,$8002-43-5$
$1799810-04-0$,$8002-43-5$
$8013-56-7$,$8001-79-4$
$8015-57-4$,$8001-79-4$
$8021-37-2$,$8001-79-4$
$8036-08-6$,$8001-79-4$
$8041-22-3$,$8001-79-4$
$8041-95-0$,$8001-79-4$
$89958-32-7$,$8001-79-4$
$151438-72-1$,$8001-79-4$
$898831-11-3$,$8001-79-4$
$8030-79-3$,$8001-78-3$
$8041-92-7$,$8001-78-3$
$8041-93-8$,$8001-78-3$
$8041-94-9$,$8001-78-3$
$37281-13-3$,$8001-78-3$
$37359-50-5$,$8001-78-3$
$39433-74-4$,$8001-78-3$
$53468-68-1$,$8001-78-3$
$69522-63-0$,$8001-78-3$
$81544-51-6$,$8001-78-3$
$77210-89-0$,$818-61-1$
$139642-59-4$,$818-61-1$
$1637456-67-7$,$818-61-1$
$5497-50-7$,$814-80-2$
$145179-24-4$,$814-80-2$
$3521-79-7$,$81-88-9$
$11111-29-8$,$81-88-9$
$17181-58-7$,$81-88-9$
$53664-59-8$,$81-88-9$
$69319-23-9$,$81-88-9$
$86513-49-7$,$81-88-9$
$86893-15-4$,$81-88-9$
$96119-80-1$,$81-88-9$
$105480-59-9$,$81-88-9$
$248928-56-5$,$81-88-9$
$408346-58-7$,$81-88-9$
$412909-17-2$,$81-88-9$
$433215-26-0$,$81-88-9$
$539821-35-7$,$81-88-9$
$850856-47-2$,$81-88-9$
$859039-47-7$,$81-88-9$
$875572-56-8$,$81-88-9$
$918962-66-0$,$81-88-9$
$925914-34-7$,$81-88-9$
$956491-27-3$,$81-88-9$
$1023342-65-5$,$81-88-9$
$1051370-49-0$,$81-88-9$
$1236042-79-7$,$81-88-9$
$1394971-11-9$,$81-88-9$
$1773488-62-2$,$81-88-9$
$1825993-87-0$,$81-88-9$
$2254248-91-2$,$81-88-9$
$1246638-15-2$,$80-08-0$
$27360-89-0$,$80-05-7$
$28106-82-3$,$80-05-7$
$37808-08-5$,$80-05-7$
$137885-53-1$,$80-05-7$
$146479-75-6$,$80-05-7$
$1429425-26-2$,$80-05-7$
$1715-99-7$,$79-33-4$
$1340-84-7$,$9005-66-7$
$9015-58-1$,$9005-66-7$
$118955-40-1$,$9005-66-7$
$1341-06-6$,$9005-64-5$
$8036-82-6$,$9005-64-5$
$9011-30-7$,$9005-64-5$
$9015-57-0$,$9005-64-5$
$37310-96-6$,$9005-64-5$
$54174-54-8$,$9005-64-5$
$60318-54-9$,$9005-64-5$
$62229-28-1$,$9005-64-5$
$93037-36-6$,$9005-64-5$
$118955-39-8$,$9005-64-5$
$122304-31-8$,$9005-64-5$
$129428-64-4$,$9005-64-5$
$194879-92-0$,$9005-64-5$
$851015-03-7$,$9005-64-5$
$861842-35-5$,$9005-64-5$
$1242241-45-7$,$9005-64-5$
$1646144-25-3$,$9005-64-5$
$9057-05-0$,$9005-25-8$
$42616-76-2$,$9005-25-8$
$53112-52-0$,$9005-25-8$
$53262-79-6$,$9005-25-8$
$60496-95-9$,$9005-25-8$
$67674-80-0$,$9005-25-8$
$75138-75-9$,$9005-25-8$
$75398-82-2$,$9005-25-8$
$85746-25-4$,$9005-25-8$
$118550-61-1$,$9005-25-8$
$131800-97-0$,$9005-25-8$
$152987-55-8$,$9005-25-8$
$154636-77-8$,$9005-25-8$
$730985-55-4$,$9005-25-8$
$730985-56-5$,$9005-25-8$
$730985-57-6$,$9005-25-8$
$939768-85-1$,$9005-25-8$
$955949-61-8$,$9005-25-8$
$1152489-70-7$,$9005-25-8$
$1309960-29-9$,$9005-25-8$
$1374255-25-0$,$9005-25-8$
$2075820-73-2$,$9005-25-8$
$2247144-19-8$,$9005-25-8$
$8035-96-9$,$9004-99-3$
$8050-55-3$,$9004-99-3$
$9009-90-9$,$9004-99-3$
$11107-94-1$,$9004-99-3$
$11108-48-8$,$9004-99-3$
$35885-17-7$,$9004-99-3$
$39404-30-3$,$9004-99-3$
$42610-76-4$,$9004-99-3$
$52504-21-9$,$9004-99-3$
$52504-22-0$,$9004-99-3$
$52504-23-1$,$9004-99-3$
$53228-13-0$,$9004-99-3$
$53335-42-5$,$9004-99-3$
$55247-85-3$,$9004-99-3$
$58375-39-6$,$9004-99-3$
$63654-37-5$,$9004-99-3$
$72993-78-3$,$9004-99-3$
$74870-86-3$,$9004-99-3$
$86473-52-1$,$9004-99-3$
$121340-91-8$,$9004-99-3$
$123543-87-3$,$9004-99-3$
$939018-14-1$,$9004-99-3$
$1436689-96-1$,$9004-99-3$
$1887122-60-2$,$9004-99-3$
$1887123-58-1$,$9004-99-3$
$2143941-58-4$,$9004-99-3$
$8013-81-8$,$9004-98-2$
$8036-15-5$,$9004-98-2$
$8036-16-6$,$9004-98-2$
$9007-63-0$,$9004-98-2$
$16979-47-8$,$9004-98-2$
$31586-45-5$,$9004-98-2$
$31899-57-7$,$9004-98-2$
$32054-74-3$,$9004-98-2$
$32236-19-4$,$9004-98-2$
$37230-81-2$,$9004-98-2$
$37260-66-5$,$9004-98-2$
$37317-52-5$,$9004-98-2$
$37332-04-0$,$9004-98-2$
$37332-05-1$,$9004-98-2$
$37336-10-0$,$9004-98-2$
$37336-11-1$,$9004-98-2$
$37370-70-0$,$9004-98-2$
$39384-39-9$,$9004-98-2$
$50957-68-1$,$9004-98-2$
$51888-74-5$,$9004-98-2$
$52440-04-7$,$9004-98-2$
$52452-85-4$,$9004-98-2$
$52627-03-9$,$9004-98-2$
$53124-83-7$,$9004-98-2$
$54351-97-2$,$9004-98-2$
$58056-96-5$,$9004-98-2$
$58857-52-6$,$9004-98-2$
$61276-84-4$,$9004-98-2$
$65431-57-4$,$9004-98-2$
$79586-81-5$,$9004-98-2$
$80701-83-3$,$9004-98-2$
$82601-23-8$,$9004-98-2$
$115453-13-9$,$9004-98-2$
$126879-46-7$,$9004-98-2$
$145613-04-3$,$9004-98-2$
$158453-78-2$,$9004-98-2$
$159131-59-6$,$9004-98-2$
$170516-63-9$,$9004-98-2$
$191549-76-5$,$9004-98-2$
$647858-18-2$,$9004-98-2$
$726175-59-3$,$9004-98-2$
$930296-27-8$,$9004-98-2$
$1687727-36-1$,$9004-98-2$
$2170465-61-7$,$9004-98-2$
$1335-73-5$,$9004-82-4$
$11121-04-3$,$9004-82-4$
$12627-22-4$,$9004-82-4$
$12627-23-5$,$9004-82-4$
$32057-62-8$,$9004-82-4$
$37325-23-8$,$9004-82-4$
$39390-84-6$,$9004-82-4$
$39450-08-3$,$9004-82-4$
$42504-27-8$,$9004-82-4$
$51059-21-3$,$9004-82-4$
$53663-56-2$,$9004-82-4$
$56572-89-5$,$9004-82-4$
$57762-43-3$,$9004-82-4$
$57762-59-1$,$9004-82-4$
$66747-17-9$,$9004-82-4$
$73651-68-0$,$9004-82-4$
$74349-47-6$,$9004-82-4$
$76724-02-2$,$9004-82-4$
$95508-27-3$,$9004-82-4$
$98112-64-2$,$9004-82-4$
$113096-26-7$,$9004-82-4$
$115284-60-1$,$9004-82-4$
$116958-77-1$,$9004-82-4$
$119764-46-4$,$9004-82-4$
$124124-10-3$,$9004-82-4$
$128835-50-7$,$9004-82-4$
$131015-92-4$,$9004-82-4$
$134364-63-9$,$9004-82-4$
$136752-27-7$,$9004-82-4$
$150502-17-3$,$9004-82-4$
$152157-39-6$,$9004-82-4$
$156107-97-0$,$9004-82-4$
$157481-33-9$,$9004-82-4$
$170006-55-0$,$9004-82-4$
$171544-36-8$,$9004-82-4$
$181434-79-7$,$9004-82-4$
$185461-11-4$,$9004-82-4$
$199605-58-8$,$9004-82-4$
$214976-60-0$,$9004-82-4$
$216958-79-1$,$9004-82-4$
$221041-96-9$,$9004-82-4$
$236428-70-9$,$9004-82-4$
$256225-57-7$,$9004-82-4$
$263568-54-3$,$9004-82-4$
$306291-75-8$,$9004-82-4$
$336794-32-2$,$9004-82-4$
$507487-64-1$,$9004-82-4$
$577977-94-7$,$9004-82-4$
$649569-38-0$,$9004-82-4$
$865812-37-9$,$9004-82-4$
$868601-22-3$,$9004-82-4$
$923025-18-7$,$9004-82-4$
$951330-36-2$,$9004-82-4$
$1014689-13-4$,$9004-82-4$
$1307693-64-6$,$9004-82-4$
$1422159-09-8$,$9004-82-4$
$1467719-83-0$,$9004-82-4$
$1691242-43-9$,$9004-82-4$
$2250420-04-1$,$9004-82-4$
$9045-96-9$,$9004-62-0$
$12772-61-1$,$9004-62-0$
$53124-21-3$,$9004-62-0$
$53124-22-4$,$9004-62-0$
$53149-00-1$,$9004-62-0$
$72146-24-8$,$9004-62-0$
$81990-28-5$,$9004-62-0$
$86168-41-4$,$9004-62-0$
$87210-16-0$,$9004-62-0$
$97105-13-0$,$9004-62-0$
$142582-86-3$,$9004-62-0$
$163648-13-3$,$9004-62-0$
$168679-18-3$,$9004-62-0$
$173523-80-3$,$9004-62-0$
$189832-76-6$,$9004-62-0$
$682809-20-7$,$9004-62-0$
$795278-38-5$,$9004-62-0$
$942427-43-2$,$9004-62-0$
$950179-92-7$,$9004-62-0$
$1029222-54-5$,$9004-62-0$
$1239602-59-5$,$9004-62-0$
$1421926-28-4$,$9004-62-0$
$1422717-44-9$,$9004-62-0$
$1613317-73-9$,$9004-62-0$
$9013-80-3$,$9004-54-0$
$9044-66-0$,$9004-54-0$
$11104-36-2$,$9004-54-0$
$11121-03-2$,$9004-54-0$
$12626-85-6$,$9004-54-0$
$37224-17-2$,$9004-54-0$
$60454-72-0$,$9004-54-0$
$86280-85-5$,$9004-54-0$
$128635-03-0$,$9004-54-0$
$911319-01-2$,$9004-54-0$
$1307300-43-1$,$9004-54-0$
$1415795-13-9$,$9004-54-0$
$9072-45-1$,$9004-53-9$
$37265-05-7$,$9004-53-9$
$37265-06-8$,$9004-53-9$
$100041-56-3$,$9004-53-9$
$133925-38-9$,$9004-53-9$
$152232-07-0$,$9004-53-9$
$185829-47-4$,$9004-53-9$
$199015-70-8$,$9004-53-9$
$256933-14-9$,$9004-53-9$
$650604-25-4$,$9004-53-9$
$753470-74-5$,$9004-53-9$
$2186634-06-8$,$9004-53-9$
$9045-95-8$,$9004-32-4$
$9085-26-1$,$9004-32-4$
$12624-09-8$,$9004-32-4$
$37231-14-4$,$9004-32-4$
$37231-15-5$,$9004-32-4$
$50642-44-9$,$9004-32-4$
$54018-17-6$,$9004-32-4$
$55607-96-0$,$9004-32-4$
$64103-90-8$,$9004-32-4$
$73699-63-5$,$9004-32-4$
$80296-93-1$,$9004-32-4$
$81209-86-1$,$9004-32-4$
$82197-79-3$,$9004-32-4$
$117385-93-0$,$9004-32-4$
$147881-80-9$,$9004-32-4$
$198084-97-8$,$9004-32-4$
$247080-55-3$,$9004-32-4$
$404943-62-0$,$9004-32-4$
$454679-81-3$,$9004-32-4$
$654655-39-7$,$9004-32-4$
$854036-84-3$,$9004-32-4$
$1012064-31-1$,$9004-32-4$
$1262215-38-2$,$9004-32-4$
$1296213-64-3$,$9004-32-4$
$1422717-46-1$,$9004-32-4$
$1428980-42-0$,$9004-32-4$
$1610028-94-8$,$9004-32-4$
$1610029-04-3$,$9004-32-4$
$2014388-59-9$,$9004-32-4$
$2072854-79-4$,$9004-32-4$
$2131127-75-6$,$9004-32-4$
$2228913-23-1$,$9004-32-4$
$2229957-39-3$,$9004-32-4$
$2260925-91-3$,$9004-32-4$
$126830-03-3$,$9003-77-4$
$9015-62-7$,$9003-39-8$
$9080-59-5$,$9003-39-8$
$29386-94-5$,$9003-39-8$
$41724-41-8$,$9003-39-8$
$53026-73-6$,$9003-39-8$
$53026-74-7$,$9003-39-8$
$53200-27-4$,$9003-39-8$
$61932-72-7$,$9003-39-8$
$65931-56-8$,$9003-39-8$
$111214-46-1$,$9003-39-8$
$116404-61-6$,$9003-39-8$
$121414-75-3$,$9003-39-8$
$132778-04-2$,$9003-39-8$
$132778-05-3$,$9003-39-8$
$132834-20-9$,$9003-39-8$
$153631-61-9$,$9003-39-8$
$170473-90-2$,$9003-39-8$
$496908-06-6$,$9003-39-8$
$730985-60-1$,$9003-39-8$
$862983-74-2$,$9003-39-8$
$878051-55-9$,$9003-39-8$
$1173909-53-9$,$9003-39-8$
$1229193-79-6$,$9003-39-8$
$1234714-82-9$,$9003-39-8$
$1303541-78-7$,$9003-39-8$
$1310675-91-2$,$9003-39-8$
$1337987-71-9$,$9003-39-8$
$1394151-52-0$,$9003-39-8$
$1431958-26-7$,$9003-39-8$
$1694674-42-4$,$9003-39-8$
$1918127-90-8$,$9003-39-8$
$2062651-26-5$,$9003-39-8$
$2083718-66-3$,$9003-39-8$
$2083718-67-4$,$9003-39-8$
$2088158-90-9$,$9003-39-8$
$2100274-29-9$,$9003-39-8$
$2169285-59-8$,$9003-39-8$
$9037-04-1$,$9003-29-6$
$11121-22-5$,$9003-29-6$
$42612-15-7$,$9003-29-6$
$52012-58-5$,$9003-29-6$
$9044-59-1$,$9003-07-0$
$37329-03-6$,$9003-07-0$
$37370-57-3$,$9003-07-0$
$52440-18-3$,$9003-07-0$
$52622-64-7$,$9003-07-0$
$53664-32-7$,$9003-07-0$
$58318-95-9$,$9003-07-0$
$60440-68-8$,$9003-07-0$
$73989-50-1$,$9003-07-0$
$76560-78-6$,$9003-07-0$
$95751-29-4$,$9003-07-0$
$104625-25-4$,$9003-07-0$
$107001-49-0$,$9003-07-0$
$109281-32-5$,$9003-07-0$
$112024-68-7$,$9003-07-0$
$112327-42-1$,$9003-07-0$
$112821-10-0$,$9003-07-0$
$122933-37-3$,$9003-07-0$
$123243-04-9$,$9003-07-0$
$131801-18-8$,$9003-07-0$
$132823-57-5$,$9003-07-0$
$133757-66-1$,$9003-07-0$
$139465-75-1$,$9003-07-0$
$143710-36-5$,$9003-07-0$
$144855-91-4$,$9003-07-0$
$148464-77-1$,$9003-07-0$
$150261-04-4$,$9003-07-0$
$156680-70-5$,$9003-07-0$
$159074-97-2$,$9003-07-0$
$162731-35-3$,$9003-07-0$
$169741-70-2$,$9003-07-0$
$170346-99-3$,$9003-07-0$
$171903-39-2$,$9003-07-0$
$178535-67-6$,$9003-07-0$
$181232-12-2$,$9003-07-0$
$182876-31-9$,$9003-07-0$
$186777-48-0$,$9003-07-0$
$201873-76-9$,$9003-07-0$
$215369-91-8$,$9003-07-0$
$220286-70-4$,$9003-07-0$
$221350-75-0$,$9003-07-0$
$223461-98-1$,$9003-07-0$
$262610-59-3$,$9003-07-0$
$268745-65-9$,$9003-07-0$
$286465-97-2$,$9003-07-0$
$301161-99-9$,$9003-07-0$
$313378-44-8$,$9003-07-0$
$313471-92-0$,$9003-07-0$
$343259-03-0$,$9003-07-0$
$349655-63-6$,$9003-07-0$
$368887-79-0$,$9003-07-0$
$391599-57-8$,$9003-07-0$
$399509-34-3$,$9003-07-0$
$425369-26-2$,$9003-07-0$
$439608-93-2$,$9003-07-0$
$457057-49-7$,$9003-07-0$
$582300-70-7$,$9003-07-0$
$796853-32-2$,$9003-07-0$
$848784-13-4$,$9003-07-0$
$868670-76-2$,$9003-07-0$
$875121-17-8$,$9003-07-0$
$883306-97-6$,$9003-07-0$
$890309-25-8$,$9003-07-0$
$928298-83-3$,$9003-07-0$
$929710-90-7$,$9003-07-0$
$958447-30-8$,$9003-07-0$
$1007233-35-3$,$9003-07-0$
$1072914-17-0$,$9003-07-0$
$1084698-59-8$,$9003-07-0$
$1161009-62-6$,$9003-07-0$
$1170942-23-0$,$9003-07-0$
$1187015-71-9$,$9003-07-0$
$1207194-75-9$,$9003-07-0$
$1292821-55-6$,$9003-07-0$
$1330065-51-4$,$9003-07-0$
$1365635-76-2$,$9003-07-0$
$1365657-50-6$,$9003-07-0$
$1369482-55-2$,$9003-07-0$
$1428902-81-1$,$9003-07-0$
$1429741-59-2$,$9003-07-0$
$1449076-61-2$,$9003-07-0$
$1596356-13-6$,$9003-07-0$
$1610944-39-2$,$9003-07-0$
$1646789-22-1$,$9003-07-0$
$1708965-95-0$,$9003-07-0$
$1808111-63-8$,$9003-07-0$
$1821166-88-4$,$9003-07-0$
$1821374-82-6$,$9003-07-0$
$1850381-83-7$,$9003-07-0$
$1855877-67-6$,$9003-07-0$
$1980812-29-0$,$9003-07-0$
$2002431-75-4$,$9003-07-0$
$2014375-57-4$,$9003-07-0$
$2089120-70-5$,$9003-07-0$
$2094994-09-7$,$9003-07-0$
$2133458-36-1$,$9003-07-0$
$2170444-76-3$,$9003-07-0$
$2196190-87-9$,$9003-07-0$
$11132-69-7$,$9003-01-4$
$37241-23-9$,$9003-01-4$
$39341-22-5$,$9003-01-4$
$51142-25-7$,$9003-01-4$
$54578-44-8$,$9003-01-4$
$54990-82-8$,$9003-01-4$
$55492-72-3$,$9003-01-4$
$56747-65-0$,$9003-01-4$
$59233-19-1$,$9003-01-4$
$65742-16-7$,$9003-01-4$
$71767-27-6$,$9003-01-4$
$71767-28-7$,$9003-01-4$
$81031-52-9$,$9003-01-4$
$82446-45-5$,$9003-01-4$
$82446-46-6$,$9003-01-4$
$87913-02-8$,$9003-01-4$
$88650-89-9$,$9003-01-4$
$101360-15-0$,$9003-01-4$
$104625-85-6$,$9003-01-4$
$104922-39-6$,$9003-01-4$
$105913-47-1$,$9003-01-4$
$118168-84-6$,$9003-01-4$
$125857-68-3$,$9003-01-4$
$125857-69-4$,$9003-01-4$
$131094-47-8$,$9003-01-4$
$165724-08-3$,$9003-01-4$
$168564-56-5$,$9003-01-4$
$169799-28-4$,$9003-01-4$
$170473-89-9$,$9003-01-4$
$174594-09-3$,$9003-01-4$
$223508-97-2$,$9003-01-4$
$230287-43-1$,$9003-01-4$
$471251-42-0$,$9003-01-4$
$597551-81-0$,$9003-01-4$
$746620-96-2$,$9003-01-4$
$746620-98-4$,$9003-01-4$
$925683-30-3$,$9003-01-4$
$1243262-39-6$,$9003-01-4$
$1422717-48-3$,$9003-01-4$
$1454600-56-6$,$9003-01-4$
$1621008-43-2$,$9003-01-4$
$1621388-50-8$,$9003-01-4$
$1621388-51-9$,$9003-01-4$
$1663486-92-7$,$9003-01-4$
$1802847-92-2$,$9003-01-4$
$1854105-15-9$,$9003-01-4$
$2055985-44-7$,$9003-01-4$
$2080340-46-9$,$9003-01-4$
$2241078-05-5$,$9003-01-4$
$39289-19-5$,$9002-98-6$
$66456-64-2$,$9002-98-6$
$69522-69-6$,$9002-98-6$
$73597-47-4$,$9002-98-6$
$81210-07-3$,$9002-98-6$
$81210-08-4$,$9002-98-6$
$81210-09-5$,$9002-98-6$
$92047-44-4$,$9002-98-6$
$96956-22-8$,$9002-98-6$
$96956-23-9$,$9002-98-6$
$96956-24-0$,$9002-98-6$
$145379-92-6$,$9002-98-6$
$217821-63-1$,$9002-98-6$
$391936-72-4$,$9002-98-6$
$461012-73-7$,$9002-98-6$
$949092-53-9$,$9002-98-6$
$1084334-00-8$,$9002-98-6$
$1244969-44-5$,$9002-98-6$
