original,primary,status
reliant,reliance,curated
reliant gases,reliance,curated
remora operating llc,remora operating,curated
remote,remote,curated
$renegade oil & gas company, llc$,renegade,curated
$renegade oil &amp; gas company, llc$,renegade,curated
renegades,renegade,curated
renos land and minerals company,renos land and minerals company,curated
$reoc, llc$,reoc,curated
$repsol o&g, llc.$,repsol,curated
repsol usa,repsol,curated
republic energy,republic energy,curated
resaca,resaca,curated
$resaca resources, llc$,resaca,curated
resin coated proppant,not a company,curated
resmetrics,resmetrics,curated
resolute natural resources,resolute natural resources,curated
resource energy,resource energy,curated
resource s pumping services llc,resources,curated
resources,resources,curated
resources pumping services,resources,curated
resources pumping services llc,resources,curated
$resources pumping servics, llc$,resources,curated
return disposal llc,return disposal,curated
rev energy,rev energy,curated
$reveille oil & gas operating, llc$,reveille oil & gas operating,curated
revelation gas & oil oklahoma,revelation gas & oil oklahoma,curated
revolution resources,revolution resources,curated
rex,rex,curated
rex energy,rex,curated
$reynolds e & p, inc$,reynolds e & p,curated
rg exploration,rg exploration,curated
rg exploration llc,rg exploration,curated
rg exploration llc\rgx,rg exploration,curated
rger,rger,curated
rger technolo,rger,curated
rger technolo gy,rger,curated
rhdk,rhdk,curated
$rhdk oil & gas, llc$,rhdk,curated
rhodia,rhodia,curated
rhodia inc,rhodia,curated
rhodia inc.,rhodia,curated
$rhodia, inc$,rhodia,curated
rice,rice,curated
$rice drilling b, llc$,rice,curated
rice energy,rice,curated
richland resources corporation,richland resources corporation,curated
$ricochet energy, inc.$,ricochet energy,curated
rife energy operating,rife energy operating,curated
$riley exploration, llc$,riley exploration,curated
rim operating,rim operating,curated
$rim operating, inc$,rim operating,curated
$rimrock oil and gas willison, llc$,rimrock,curated
$rimrock resource operating, llc$,rimrock,curated
ring,ring,curated
ring energy,ring,curated
$ring energy, inc.$,ring,curated
$rio grande e&p, llc$,rio grande,curated
$rio oil and gas, llc$,rio petroleum,curated
rio petroleum,rio petroleum,curated
$rio petroleum, inc.$,rio petroleum,curated
rising star,rising star,curated
$rising star energy partners, l.l.c.$,rising star,curated
rising star rising star rising star rising star ri,rising star,curated
rising star services,rising star,curated
rising start,rising star,curated
river,river,curated
river bend,river bend,curated
river river supply,river river supply,curated
river rock operating,river rock operating,curated
riverbend,river bend,curated
riverbend oil and gas,river bend,curated
$riverside midstream water resources, llc$,riverside midstream water resources,curated
$riviera operating, llc$,riviera operating,curated
rk petroleum corp.,rk petroleum,curated
rki,rki,curated
$rki energy resources, llc$,rki,curated
rki exploration,rki,curated
rki exploration & production,rki,curated
rki exploration &amp; production,rki,curated
rki explorations and production,rki,curated
rkr exploration inc,rkr exploration inc,curated
rlu operating,rlu operating,curated
$rlu operating, llc$,rlu operating,curated
rmb operating llc,rmd,curated
rmd,rmd,curated
ro technics,protechnics,curated
roan resources llc,roan resources,curated
roberson oil,roberson oil,curated
$roberson oil company, inc.$,roberson oil,curated
robert l. bayless,robert l. bayless,curated
$robert l. bayless, producer llc$,robert l. bayless,curated
roca chemicals,roca chemicals,curated
rocanda,rocanda,curated
rocanda enterprises,rocanda,curated
rocanda enterprises ltd.,rocanda,curated
$rock creek resources, llc$,rock creek,curated
rock oil,rock oil,curated
rock oil company,rock oil,curated
rock pile energy,rockpile energy,curated
rock water,rockwater,curated
rock water energy solutions,rockwater,curated
rock water energy systems,rockwater,curated
$rock water, energy solutions$,rockwater,curated
rockcliff energy operating,rockcliff energy operating,curated
rockdale,rockdale,curated
rockdale energy,rockdale,curated
rockdale marcellus,rockdale,curated
$rockdale marcellus, llc$,rockdale,curated
rockefeller hughes (usa) llc,rockefeller hughes,curated
rockpile,rockpile energy,curated
rockpile enerfy services,rockpile energy,curated
rockpile energy,rockpile energy,curated
rockpile energy services,rockpile energy,curated
rockpile enrgy services,rockpile energy,curated
rockpileenergy services,rockpile energy,curated
rockwater,rockwater,curated
rockwater / natl petro,rockwater,curated
rockwater energy,rockwater,curated
rockwater energy services,rockwater,curated
$rockwater energy solutiions, inc.$,rockwater,curated
rockwater energy solutions,rockwater,curated
$rockwater energy solutions, inc.$,rockwater,curated
$rocky creek resources, llc$,rock creek,curated
rocky top energy,rocky top energy,curated
roclwater,rockwater,curated
roff,roff,curated
roff operating,roff,curated
roff operating company,roff,curated
rosehill operating company llc,rosehill operating company,curated
$rosehill operating company, llc$,rosehill operating company,curated
rosetta resources,rosetta resources,curated
rosewo od,rosewood,curated
rosewood resources,rosewood,curated
rosewood resources inc-vernal,rosewood,curated
rosk pile energy,rockpile energy,curated
$roundtree & associates, inc.$,roundtree & associates,curated
$rover operating company, llc$,rover,curated
rover petroleum,rover,curated
rover petroleum llc,rover,curated
$rover petroleum operating, llc$,rover,curated
$rox exploration, inc.$,rox exploration,curated
roy well,roywell,curated
$royalty land & dev. co., inc.$,royalty land & dev,curated
$royalty land &amp; dev. co., inc.$,royalty land & dev,curated
roywell,roywell,curated
roywell llc,roywell,curated
roywell service,roywell,curated
roywell services,roywell,curated
roywell services inc.,roywell,curated
$roywell services, inc$,roywell,curated
$roywell services, inc.$,roywell,curated
$rp operating, llc$,rp operating,curated
rrs,rrs,curated
rsi,rsi,curated
rsp,rsp,curated
rsp permian,rsp,curated
rsp permian llc,rsp,curated
$rsp permian, llc$,rsp,curated
rss,rss,curated
rta petroleum llc,rta petroleum,curated
$rtb oil,inc.$,rtb oil,curated
ruckus energy,ruckus energy,curated
$ruckus energy operating, llc$,ruckus energy,curated
ruffel,ruffel,curated
running horse production company,running horse production company,curated
s,ambiguous,curated
s pumping services llc,resources pumping services,curated
s service corp,s service corp,curated
$s. b. street operating, inc.$,s. b. street operating,curated
s1210366,not a company,curated
s1310630,not a company,curated
s1811950,not a company,curated
sabalo,sabalo,curated
sabalo energy,sabalo,curated
$sabalo exploration operating,llc$,sabalo,curated
sabalo operating,sabalo,curated
$sabalo operating, llc$,sabalo,curated
sabdridge,sandridge,curated
saber,sabre,curated
sabinal,sabinal,curated
sabinal energy,sabinal,curated
sabine,sabine,curated
sabine energy,sabine,curated
sabine oil & gas,sabine,curated
sabine oil & gas corporation,sabine,curated
sabine oil & gas llc,sabine,curated
sabine oil and gas,sabine,curated
sabine oil and gas corp,sabine,curated
sabino energy services,sabino energy services,curated
sable,sable,curated
sable permian resources,sable,curated
sabre,sabre,curated
sabre companies,sabre,curated
sabre companies llc,sabre,curated
sabre energy,sabre,curated
sabre energy service,sabre,curated
sabre energy services,sabre,curated
sabre energy services llc,sabre,curated
sabre energy services lls,sabre,curated
$sabre energy services, llc$,sabre,curated
$sabre oil company, llc$,sabre,curated
sabre oxidation technologies,sabre,curated
$sabre oxidation technologies, inc.$,sabre,curated
sabre oxidationg technolgies,sabre,curated
sabre technical services,sabre,curated
$sabre technical services, llc$,sabre,curated
sachem,sachem,curated
sachem americas,sachem,curated
sacramento,sacramento,curated
$saddle operating, llc$,saddle operating,curated
saga,saga,curated
saga petroleum,saga,curated
saga petroleum llc,saga,curated
sagar,sagar,curated
sagar enterprise,sagar,curated
$sagar enterprises, inc$,sagar,curated
sagrent/unimin,sargent,curated
sahara operating,sahara operating,curated
sahara operating company,sahara operating,curated
saint gobain,saint-gobain,curated
saint gobain proppants,saint-gobain,curated
saint gobbain,saint-gobain,curated
saint-gobain,saint-gobain,curated
saint-gobain proppant,saint-gobain,curated
saint-gobain proppants,saint-gobain,curated
samjel,samjel,curated
samson,samson,curated
samson exploration,samson,curated
samson exploration llc,samson,curated
$samson exploration, llc$,samson,curated
samson lonestar,samson,curated
$samson oil and gas montana, inc.$,samson,curated
samson resources,samson,curated
san angelo operating corp.,san angelo operating,curated
san yuan chemical co,san yuan chemical co,curated
sanchez oil & gas corporation,sanchez oil & gas corporation,curated
sand,not a company,curated
sand - bulk - utah,not a company,curated
sand kings transport / the titan companies / quick,sand kings transport,curated
sand ridge,sand ridge,curated
$sand, llc$,sand,curated
$sandalwood exploration, lp$,sandalwood exploration,curated
$sandman exploration, llc$,sandman exploration,curated
$sandpoint operating, llc$,sandpoint operating,curated
sandpro,sandpro,curated
sandridge,sandridge,curated
sandridge energy,sandridge,curated
sandridge energy corp,sandridge,curated
sandridge energy inc,sandridge,curated
$sandridge energy, inc.$,sandridge,curated
sandrifge energy,sandridge,curated
sandrol,santrol,curated
sandtech,sandtech,curated
sandtrol,santrol,curated
sanguine gas exploration,sanguine gas exploration,curated
sanjel,sanjel,curated
sanjel corp.,sanjel,curated
santol,santrol,curated
$santol, cadre, superior silica$,santrol,curated
santrl proppants,santrol,curated
santrol,santrol,curated
santrol diverters,santrol,curated
santrol inc,santrol,curated
santrol proppant,santrol,curated
santrol proppants,santrol,curated
$santrol, cadre, superior cilica$,santrol,curated
$santrol, cadre, superior silica$,santrol,curated
$santrol, inc$,santrol,curated
$santrol, inc.$,santrol,curated
$santrol, superior$,santrol,curated
$santrol, superior silica$,santrol,curated
santrol/cadre,santrol,curated
santroll,santrol,curated
saragosa field services,saragosa field services,curated
sargent,sargent,curated
sargent unimin,sargent,curated
$sargent/imo,om$,sargent,curated
sargent/momentive/preferred,sargent,curated
sargent/momentive/preffered,sargent,curated
sargent/momentive/prefferred,sargent,curated
sargent/unimim,sargent,curated
sargent/unimin,sargent,curated
sauder management company,sauder management company,curated
savant alaska llc,savant alaska,curated
sb excel,sb excel,curated
scala energy operating llc,scala energy operating,curated
scale inhibitor,not a company,curated
scalesorb 7,not a company,curated
schlachter operating corp.,schlachter,curated
schlmber ger,schlumberger,curated
schlumbe,schlumberger,curated
schlumbe rger,schlumberger,curated
schlumbe rger technolo,schlumberger,curated
schlumbe rger technolo gy,schlumberger,curated
schlumberge,schlumberger,curated
schlumberge r,schlumberger,curated
schlumberge r technology,schlumberger,curated
schlumberge r technology corporation,schlumberger,curated
schlumberge r technology corportaion,schlumberger,curated
schlumberger,schlumberger,curated
schlumberger technology corporation,schlumberger,curated
schneider energy services,schneider energy services,curated
schulman,schulman,curated
schulmberger,schlumberger,curated
schumberger,schlumberger,curated
science lab,science lab,curated
sciencelab,science lab,curated
$sciencelab.com, inc.$,science lab,curated
sclumberger,schlumberger,curated
scout,scout energy,curated
scout energy,scout energy,curated
scout energy partners,scout energy,curated
scs,scs,curated
sdx resources,sdx resources,curated
sdx resources inc.,sdx resources,curated
$sdx resources, inc.$,sdx resources,curated
$sdx resources,inc.$,sdx resources,curated
sea pacific,sea pacific,curated
sea pacific inc,sea pacific,curated
seaboard operating co.,seaboard operating co.,curated
searles valley mineral,searles valley mineral,curated
sec production,sec production,curated
seeco,seeco,curated
seguro oil and gas llc,seguro oil and gas,curated
seidler oil & gas,seidler oil & gas,curated
$seidler oil & gas operating, llc$,seidler oil & gas,curated
select,select,curated
select energy,select,curated
select energy services,select,curated
select energy services llc,select,curated
select energy services/imp act energy services,select,curated
$sellers lease service, inc$,sellers lease service,curated
$selous energy, llc$,selous energy,curated
$sem operating company, llc$,sem operating company,curated
seneca,seneca,curated
seneca resources,seneca,curated
$seneca resources company, llc$,seneca,curated
seneca resources corp,seneca,curated
seneca resources corp?,seneca,curated
seneca resources corporation,seneca,curated
sep - ok 1 llc,sep - ok 1,curated
$sequel energy, llc$,sequel energy,curated
sequitur,sequitur,curated
sergant unimin,sargent,curated
sergant/unimin,sargent,curated
sergent/unimin,sargent,curated
servco,servco,curated
service,ambiguous,curated
service co,ambiguous,curated
service company,ambiguous,curated
service lp,ambiguous,curated
services,ambiguous,curated
services company,ambiguous,curated
services company u s a,ambiguous,curated
services corp.,ambiguous,curated
services inc.,ambiguous,curated
services llc,ambiguous,curated
services ltd,ambiguous,curated
$services, llc$,ambiguous,curated
servo,servo,curated
ses,ses,curated
seven trent services,severn trent,curated
severn  trent,severn trent,curated
severn trent,severn trent,curated
severn trent services,severn trent,curated
severn tret,severn trent,curated
severv trent,severn trent,curated
sg interests,sg interests,curated
sg interests i ltd.,sg interests,curated
sgb solutions,sgb solutions,curated
sgb solutions lp,sgb solutions,curated
$sgb solutions, lp$,sgb solutions,curated
sgp operating llc,sgp operating,curated
shack acid & cement,shack,curated
shack acid & cement services,shack,curated
shack acid and cement,shack,curated
shack energy,shack,curated
shack energy services,shack,curated
$sharp image energy, inc.$,sharp image energy,curated
shawnee city water,shawnee city water,curated
$shd oil & gas, llc$,shd oil & gas,curated
shell,shell,curated
shell e. & p.,shell,curated
shell exploration,shell,curated
shell oil company affiliate,shell,curated
shell+l26:l27,shell,curated
$shenandoah resources, llc$,shenandoah resources,curated
sheridan,sheridan,curated
sheridan operating,sheridan,curated
sheridan production,sheridan,curated
sheridan production co,sheridan,curated
sheridan production co.,sheridan,curated
sheridan production company,sheridan,curated
$sheridan production company, llc$,sheridan,curated
sheridan productions,sheridan,curated
sherman williams,sherman williams,curated
shieve,shrieve,curated
shotwell hydrogenics llc,shotwell hydrogenics,curated
shreive,shreive,curated
shrieve,shrieve,curated
shrieve chem prod,shrieve,curated
shrieve chem products,shrieve,curated
shrieve chemical,shrieve,curated
shrieve chemical products,shrieve,curated
$shrieve chemical products, inc.$,shrieve,curated
siena natural resources,siena natural resources,curated
sierra,sierra,curated
sierra frac,sierra,curated
$sierra frac sand, llc$,sierra,curated
$sierra resources, llc$,sierra,curated
sigma aldrich,sigma aldrich,curated
sigma-aldrich,sigma aldrich,curated
sigman aldrich,sigma aldrich,curated
signal peak,signal peak,curated
$signal peak silica, llc$,signal peak,curated
silica,not a company,curated
silica quartz,not a company,curated
silica substrate,not a company,curated
sillverback,silverback,curated
$siltstone resources operating ii, llc$,siltstone resources operating,curated
silver creek,silver creek,curated
$silver creek oil & gas, llc$,silver creek,curated
$silver creek oil &amp; gas, llc$,silver creek,curated
$silver creek permian op co, llc$,silver creek,curated
silver creek resources llc,silver creek,curated
silver creek services,silver creek,curated
silver hill energy,silver hill energy partners,curated
silver hill energy partners,silver hill energy partners,curated
$silver hill energy partners, llc$,silver hill energy partners,curated
$silver oak energy, llc$,silver oak energy,curated
silver spike energy,silver spike energy,curated
silver tusk operating co. llc,silver tusk operating co.,curated
silverback,silverback,curated
silverback chemcials,silverback,curated
silverback chemical,silverback,curated
$silverback chemical, llc$,silverback,curated
silverback chemicals,silverback,curated
silverback exploration,silverback,curated
$silverback operating, llc$,silverback,curated
silverbow resources,silverbow resources,curated
silverbsck chemicals,silverback,curated
sinclair oil & gas company,sinclair oil & gas company,curated
sinclair oil &amp; gas company,sinclair oil & gas company,curated
singletree resources,singletree resources,curated
$singletree resources, inc.$,singletree resources,curated
sinterlite,not a company,curated
sinterlite bauxite,not a company,curated
sintex,sintex,curated
sintex international,sintex,curated
sintex minerals,sintex,curated
sintex minerals & services,sintex,curated
$sintex minerals & services, inc.$,sintex,curated
sintex minerals services,sintex,curated
six gun logistics,six gun logistics,curated
sk e&p operations america,sk e&p operations,curated
sk plymouth llc,plymouth,curated
$sk plymouth, llc$,plymouth,curated
sklar exploration,sklar exploration,curated
sklar exploration company l.l.c.,sklar exploration,curated
skyhawk,skyhawk,curated
skyline,skyline,curated
skyline chemical,skyline,curated
skyline chemical inc.,skyline,curated
skyline chemical incorporated,skyline,curated
skyline chemicals,skyline,curated
slant operating,slant operating,curated
slawson,slawson,curated
slawson exploration,slawson,curated
$slawson exploration co., inc.$,slawson,curated
$slawson exploration company, inc.$,slawson,curated
slb,slb,curated
sloan petroleum inc.,sloan petroleum,curated
slumberger,schlumberger,curated
slurry guar,not a company,curated
sm energy,sm energy,curated
sm energy company,sm energy,curated
smarchemical,smartchemical,curated
smarcheml,smartchemical,curated
smart cemical,smartchemical,curated
smart chem,smartchemical,curated
smart chemcial,smartchemical,curated
smart chemcial services,smartchemical,curated
smart chemical,smartchemical,curated
smart chemical services,smartchemical,curated
smart chemical services_,smartchemical,curated
smart chemical solutions,smartchemical,curated
smart chemicals,smartchemical,curated
smart chemicals services,smartchemical,curated
smartcheical,smartchemical,curated
smartchem,smartchemical,curated
smartchemcial,smartchemical,curated
smartchemica,smartchemical,curated
smartchemical,smartchemical,curated
smartchemical services,smartchemical,curated
smartchemicals,smartchemical,curated
smartt chemical,smartchemical,curated
smith energy operating company,smith,curated
smith production,smith,curated
smratchem,smartchemical,curated
$sn ef maverick, llc$,sn ef maverick,curated
$sn operating, llc$,sn operating,curated
snf,snf,curated
snf inc,snf,curated
snf inc.,snf,curated
snf oil and gas,snf,curated
$snf, inc$,snf,curated
$snf, inc.$,snf,curated
snf/blentech,snf,curated
snp health-safet y environment,snp health-safety environment,curated
sns,sns,curated
sns resources,sns,curated
snyder brothers,snyder brothers,curated
snyder brothers inc,snyder brothers,curated
snyder brothers inc.,snyder brothers,curated
$snyder brothers, inc$,snyder brothers,curated
soane,soane,curated
soane energy,soane,curated
sodium hydroxide,not a company,curated
sodium hyrdroxide,not a company,curated
sodium metabisulfite,not a company,curated
sodium polyacrylate solution,not a company,curated
sodium tetraborate decahydrate,not a company,curated
sojourner drilling corporation,sojourner drilling corporation,curated
solaris,solaris,curated
$solaris water midstream, llc$,solaris,curated
solenis,solenis,curated
solnexus,solnexus,curated
solnexus chemical,solnexus,curated
solugen,solugen,curated
solvay,solvay,curated
solvay chemplex,solvay,curated
solvay group,solvay,curated
solvay usa inc,solvay,curated
solvay usa inc.,solvay,curated
solvay/chemplex,solvay,curated
solvent,not a company,curated
solvey,solvay,curated
$solvlchem, inc$,solvlchem,curated
sonerra resources corporation,sonerra resources corporation,curated
$sonterra energy, llc$,sonterra energy,curated
sooner oil and gas mgt inc,sooner oil and gas,curated
$south sands exploration, llc$,south sands exploration,curated
$southern bay operating, l.l.c.$,southern bay operating,curated
southern chemical corporation,southern chemical corporation,curated
southern filter,southern filter,curated
southern filter media,southern filter,curated
southern ionics,southern ionics,curated
southern media filter,southern filter,curated
southern media filters,southern filter,curated
southern oklahoma production,southern oklahoma production,curated
southlake exploration inc.,southlake exploration,curated
southland royalty company llc,southland royalty company,curated
southren filter media,southern filter,curated
$southwest resources, inc.$,southwest resources,curated
$southwest royalties, inc.$,southwest royalties,curated
southwester n,southwestern,curated
southwester n energy,southwestern,curated
southwestern,southwestern,curated
southwestern chemicals,southwestern,curated
southwestern energy,southwestern,curated
southwestern energy ventures company llc,southwestern,curated
soutwestern,southwestern,curated
sovereign operating company llc,sovereign operating company,curated
spartan sands,spartan sands,curated
spartan sands llc,spartan sands,curated
spc,spc,curated
special energy corporation,special energy corporation,curated
special materials company,special materials company,curated
special products,special products,curated
specialist,ambiguous,curated
specialists,ambiguous,curated
specialties,ambiguous,curated
specialty,specialty,curated
specialty chem,specialty,curated
spectrum,spectrum,curated
spectrum tracer,spectrum,curated
spectrum tracer llc,spectrum,curated
spectrum tracer service,spectrum,curated
spectrum tracer services,spectrum,curated
spectrum tracer services llc,spectrum,curated
spectrum tracer services llc.,spectrum,curated
$spectrum tracer services, llc$,spectrum,curated
spectrum tracers,spectrum,curated
spectrum traver services,spectrum,curated
spectum,spectrum,curated
spencer oil company,spencer oil company,curated
spess farms,spess,curated
spess oil company,spess,curated
spindletop oil & gas,spindletop oil & gas,curated
spinnaker,spinnaker,curated
spinniker,spinnaker,curated
sponte resources,sponte resources,curated
spooner petroleum company,spooner petroleum company,curated
spring operating company,spring operating company,curated
sps,sps,curated
sps llc,sps,curated
$sps, llc$,sps,curated
square mile energy,square mile energy,curated
$square mile energy, llc$,square mile energy,curated
src energy,src energy,curated
srx,srx,curated
srx chemicals,srx,curated
st goblin,saint-gobain,curated
st goblins,saint-gobain,curated
st. george e tx operating llc,st. george e tx operating,curated
st. gobain,saint-gobain,curated
st.gobain,saint-gobain,curated
stacy operating llc,stacy operating,curated
staghorn energy-tulsa,staghorn,curated
$staghorn petroleum ii, llc$,staghorn,curated
staghorn petroleum llc-tulsa,staghorn,curated
$staghorn petroleum, llc$,staghorn,curated
staghorn resources llc-tulsa,staghorn,curated
staghorn resources-tulsa,staghorn,curated
staney well service,staney well service,curated
stannous chloride,not a company,curated
stanolind operating llc,stanolind,curated
stanolind production llc,stanolind,curated
stantrol,santrol,curated
$star point enterprises, inc.$,star point enterprises,curated
stasmeu well service,stasney well service,curated
stasney well service,stasney well service,curated
$stasney well service, llc$,stasney well service,curated
stasney well servoce,stasney well service,curated
stasney well sevice,stasney well service,curated
statoil,statoil,curated
statoil oil & gas lp,statoil,curated
$statoil oil & gas, l.p.$,statoil,curated
statoil texas onshore properties llc,statoil,curated
statoil usa onshore properties inc.,statoil,curated
stellar energy,steller energy,curated
steller energy,steller energy,curated
steller energy & investment corp,steller energy,curated
steller energy &amp; investment corp,steller energy,curated
steller energy and investment,steller energy,curated
step,step,curated
step energy,step,curated
step energy services,step,curated
stephens,stephens,curated
stephens & johnson operating co.,stephens,curated
stephens &amp; johnson operating co.,stephens,curated
stephens and johnson,stephens,curated
stephens and johnson operating,stephens,curated
stephens energy group llc,stephens,curated
stephens production co,stephens,curated
stephens production company,stephens,curated
sterling,sterling,curated
sterling oilfield solutions,sterling,curated
steubenville,steubenville,curated
steubenville/cadiz,steubenville,curated
steve strba consulting inc,steve strba consulting,curated
$steve strba consulting, llc$,steve strba consulting,curated
$steward energy ii, llc$,steward energy,curated
$steward energy, llc$,steward energy,curated
stim,stim,curated
stim oil,stim,curated
stimchem,stimchem,curated
stimlube,stimlube,curated
stimlube ne,stimlube,curated
stimlube w,stimlube,curated
stimoil,stim,curated
stimstream,stimstream,curated
stimteq,stimteq,curated
stimulati on,stimulation technologies,curated
stimulati on technolo,stimulation technologies,curated
stimulati on technolo gies,stimulation technologies,curated
stimulatio n,stimulation technologies,curated
stingray,stingray,curated
$stingray oil company, inc.$,stingray,curated
stingray pressure pumping,stingray,curated
stingray pressure pumping llc,stingray,curated
stingray pressure pumping services,stingray,curated
$stingray pressure pumping, llc$,stingray,curated
$stingray pressure pumping, llc / ftsi international$,stingray,curated
stingray pressure pumping/fts international,stingray,curated
stinson,stinson,curated
$stone creek operating, llc$,stone creek operating,curated
stone energy corporation,stone energy corporation,curated
$stone oak operating, llc$,stone oak operating,curated
stonegate production,stonegate production,curated
stonegate production company,stonegate production,curated
$stonegate production company, llc$,stonegate production,curated
$stormy 8 operating, llc$,stormy 8 operating,curated
$story oil & gas, inc.$,story oil & gas.,curated
stout,stout,curated
stout energy,stout,curated
stout energy inc.,stout,curated
stovall operating co.,stovall operating,curated
$strand energy, l.c.$,strand energy,curated
strat land,strat land,curated
strat land exploration,strat land,curated
strat land exploration co,strat land,curated
strata production company,strata production company,curated
strategy oilfield,strategy oilfield,curated
stratex oil & gas holdings inc,stratex oil & gas holdings,curated
streamline polymers,streamline polymers,curated
stronghold energy,stronghold energy,curated
stronghold energy ii,stronghold energy,curated
stronghold energy ii operating llc,stronghold energy,curated
$stronghold energy ii operating, llc$,stronghold energy,curated
$stronghold energy ii, operating, llc$,stronghold energy,curated
stroud,stroud,curated
stroud petroleum,stroud,curated
$stroud petroleum, inc.$,stroud,curated
sts,sts,curated
sts logistic & analytics,sts,curated
sts logistics,sts,curated
sts logistics & analytics,sts,curated
sts logistics and analyics,sts,curated
sts logistics and analysis,sts,curated
sts logistics and analystics,sts,curated
sts logistics and analytics,sts,curated
$sue-ann operating, l.c.$,sue-ann operating,curated
$suemaur expl. & prod., llc$,suemaur expl. & prod,curated
$suemaur expl. &amp; prod., llc$,suemaur expl. & prod,curated
sugar creek producing company,sugar creek producing company,curated
sugar hollow creek/inez moss pond/rain and snow me,ambiguous,curated
sulfamic acid,not a company,curated
sumitomo,sumitomo,curated
summit,summit,curated
summit discovery res ii llc,summit,curated
summit energy,summit,curated
summit energy management,summit,curated
summit petroleum,summit,curated
summit petroleum llc,summit,curated
sun driling products,sun drilling,curated
sun drilling,sun drilling,curated
sun drilling prods,sun drilling,curated
sun drilling products,sun drilling,curated
sun drilling products corp.,sun drilling,curated
sun specialty products,sun specialty products,curated
sun ultra light weight proppants,sun ultra light weight proppants,curated
sunbelt,sunbelt,curated
$sunburst, inc.$,sunburst,curated
sundance energy,sundance energy,curated
sundance energy ( usa),sundance energy,curated
sundown energy l.p.,sundown energy,curated
sundrilling,sun drilling,curated
sunray operating co. inc.,sunray operating,curated
$super dc, 20/40$,not a company,curated
superflo 100,not a company,curated
superier production llc,superior,curated
superior,superior,curated
$superior chemical, llc$,superior,curated
$superior oil & gas, llc$,superior,curated
superior production llc,superior,curated
superior silica,superior,curated
superior silica sand,superior,curated
superior silica sands,superior,curated
superior silica sands llc,superior,curated
superior well,superior,curated
superior well service,superior,curated
superior well services,superior,curated
superior well services ltd,superior,curated
superior well svcs,superior,curated
superset-w  resin activator,not a company,curated
superset-w / resin activator,not a company,curated
supplied by operator,operator,curated
supplier,ambiguous,curated
suppliers,ambiguous,curated
surfactant,not a company,curated
surfactants & foamers,not a company,curated
surge,surge,curated
surge energy,surge,curated
surge operating,surge,curated
$surge operating, llc$,surge,curated
susquehann a river - chesapeake hicks,susquehanna river,curated
susquehann a river-chesa peake hicks,susquehanna river,curated
$sutherland energy co., llc$,sutherland energy,curated
sutton producing company,sutton producing,curated
sutton producing corp.,sutton producing,curated
$sv energy company, llc$,sv energy company,curated
svcs,svcs,curated
swift,swift,curated
swift energy co,swift,curated
swift energy co.,swift,curated
swift energy company,swift,curated
$swift energy operating, llc$,swift,curated
$swift energy operating, llc.$,swift,curated
swift energy-houston,swift,curated
swift water,swiftwater,curated
swift water energy,swiftwater,curated
swiftwate,swiftwater,curated
swiftwater,swiftwater,curated
swinbank,swinbank,curated
swire,swire,curated
swire oilfield,swire,curated
swjn oil company,swjn oil company,curated
swn,swn,curated
swn sand company,swn,curated
swn well services,swn,curated
sws,sws,curated
sws environmental,sws,curated
swsi,swsi,curated
$sydson energy, inc$,sydson energy,curated
syn oil,syn oil,curated
synergy liquid llc,synergy,curated
synergy liquids llc,synergy,curated
synergy oil field services,synergy,curated
$synergy oil field services, llc$,synergy,curated
synergy resources corporation,synergy,curated
synoil,synoil,curated
synoil energy services,synoil,curated
synoil inc,synoil,curated
synoil inc.,synoil,curated
t1210008,not a company,curated
tabula rasa energy,tabula rasa energy,curated
$tabula rasa energy, llc$,tabula rasa energy,curated
tacor,tacor,curated
$tacor resources, inc.$,tacor,curated
talisman,talisman,curated
talisman energy,talisman,curated
talisman energy usa inc.,talisman,curated
talisman trican trican trican trican trican trican,talisman,curated
tall city exploration,tall city,curated
tall city exporation,tall city,curated
tall city operations iii llc,tall city,curated
tall city operations llc,tall city,curated
$tall city operations, llc$,tall city,curated
$tamarack petroleum company, inc.$,tamarack petroleum,curated
tank trucks,ambiguous,curated
tanmar,tanmar,curated
tanos,tanos,curated
$tanos exploration ii, llc$,tanos,curated
$tanos exploration, llc$,tanos,curated
tao,tao,curated
tao ceramics,tao,curated
tap rock resources,tap rock resources,curated
tapstone energy,tapstone energy,curated
$taqa north usa, inc.$,taqa north,curated
$tar bases, quinoline derivs, benzyl chloride-quat$,not a company,curated
$tarka energy, llc$,tarka energy,curated
tarquiin,tarquin,curated
tarquin,tarquin,curated
tarquin acid,tarquin,curated
tarquin acid llc,tarquin,curated
$tarquin acid, llc$,tarquin,curated
tarquin coolpro,tarquin,curated
tarqun,tarquin,curated
taylor frac,taylor frac,curated
tbc- brinadd,tbc-brinadd,curated
tbc-brinadd,tbc-brinadd,curated
tbk energy company,tbk energy company,curated
tcs,tcs,curated
$tdx energy, llc$,tdx energy,curated
teakwood operating llc,teakwood operating,curated
teal,teal,curated
teal exploration llc,teal,curated
teal natural resources,teal,curated
team co2,team co2,curated
tech management,tech management,curated
tech management llc,tech management,curated
$tech management, llc$,tech management,curated
tech mgmt.,tech management,curated
$technisand, inc. (d/b/a fairmount santrol)$,fairmount,curated
technolo,ambiguous,curated
technolo gies,ambiguous,curated
technolo gies inc,ambiguous,curated
technolo gy,ambiguous,curated
technolog ies,ambiguous,curated
technologies,ambiguous,curated
$technologies , inc$,ambiguous,curated
